rank,entry,contestant,wins,teams_remaining,optimal_win_path_prob,optimal_ev_path_score,survival_prob,fair_value,predicted_next_picks
1,SYNTH-10717,SYNTH-10717,0,32,0.001883,0.0,0.00176,6476.64,JAX 58%; LAC 28%; DET 4%
37,SYNTH-02380,SYNTH-02380,0,32,0.001883,0.0,0.00096,4604.12,JAX 60%; LAC 27%; DET 4%
38,SYNTH-09317,SYNTH-09317,0,32,0.001883,0.0,0.00128,4592.86,JAX 61%; LAC 28%; DET 4%
39,SYNTH-14394,SYNTH-14394,0,32,0.001883,0.0,0.0012,4589.68,JAX 50%; LAC 33%; DET 4%
40,SYNTH-03340,SYNTH-03340,0,32,0.001883,0.0,0.00096,4586.77,JAX 59%; LAC 27%; DET 4%
41,SYNTH-01403,SYNTH-01403,0,32,0.001883,0.0,0.00088,4536.68,JAX 56%; LAC 33%; DET 3%
42,SYNTH-11916,SYNTH-11916,0,32,0.001883,0.0,0.0012,4529.89,JAX 53%; LAC 28%; DET 5%
43,SYNTH-07026,SYNTH-07026,0,32,0.001883,0.0,0.00128,4518.23,JAX 62%; LAC 29%; DET 3%
44,SYNTH-14000,SYNTH-14000,0,32,0.001883,0.0,0.0016,4500.67,JAX 60%; LAC 30%; DET 3%
45,SYNTH-05985,SYNTH-05985,0,32,0.001883,0.0,0.0012,4484.05,JAX 60%; LAC 28%; DET 4%
46,SYNTH-07780,SYNTH-07780,0,32,0.001883,0.0,0.00088,4476.25,JAX 54%; LAC 27%; DET 5%
47,SYNTH-05961,SYNTH-05961,0,32,0.001883,0.0,0.00112,4468.72,JAX 58%; LAC 30%; DET 4%
48,SYNTH-04988,SYNTH-04988,0,32,0.001883,0.0,0.00096,4456.82,JAX 60%; LAC 27%; DET 4%
49,SYNTH-10142,SYNTH-10142,0,32,0.001883,0.0,0.00104,4453.83,JAX 56%; LAC 31%; DET 4%
50,SYNTH-18408,SYNTH-18408,0,32,0.001883,0.0,0.0008,4432.52,JAX 52%; LAC 25%; DET 5%
51,SYNTH-16891,SYNTH-16891,0,32,0.001883,0.0,0.00104,4394.41,JAX 58%; LAC 23%; DET 5%
52,SYNTH-22298,SYNTH-22298,0,32,0.001883,0.0,0.00064,4393.98,JAX 60%; LAC 26%; DET 4%
53,SYNTH-23370,SYNTH-23370,0,32,0.001883,0.0,0.0012,4385.96,JAX 56%; LAC 28%; DET 4%
54,SYNTH-02937,SYNTH-02937,0,32,0.001883,0.0,0.00064,4366.59,JAX 51%; LAC 27%; DET 4%
55,SYNTH-16366,SYNTH-16366,0,32,0.001883,0.0,0.00104,4352.33,JAX 56%; LAC 31%; DET 4%
56,SYNTH-02299,SYNTH-02299,0,32,0.001883,0.0,0.00064,4306.3,JAX 51%; LAC 33%; DET 4%
57,SYNTH-02172,SYNTH-02172,0,32,0.001883,0.0,0.00064,4300.52,JAX 55%; LAC 27%; DET 4%
58,SYNTH-06931,SYNTH-06931,0,32,0.001883,0.0,0.00072,4300.13,JAX 61%; LAC 29%; DET 3%
59,SYNTH-23200,SYNTH-23200,0,32,0.001883,0.0,0.00096,4299.62,JAX 49%; LAC 28%; DET 4%
60,SYNTH-13027,SYNTH-13027,0,32,0.001883,0.0,0.00056,4293.35,JAX 48%; LAC 31%; DET 4%
61,SYNTH-18950,SYNTH-18950,0,32,0.001883,0.0,0.00112,4287.31,JAX 57%; LAC 28%; DET 4%
62,SYNTH-15522,SYNTH-15522,0,32,0.001883,0.0,0.00056,4271.92,JAX 58%; LAC 30%; DET 4%
63,SYNTH-09067,SYNTH-09067,0,32,0.001883,0.0,0.00112,4261.38,JAX 63%; LAC 29%; DET 3%
64,SYNTH-07255,SYNTH-07255,0,32,0.001883,0.0,0.0008,4257.15,JAX 60%; LAC 22%; DET 5%
65,SYNTH-19727,SYNTH-19727,0,32,0.001883,0.0,0.0004,4253.0,JAX 50%; LAC 31%; DET 4%
66,SYNTH-22307,SYNTH-22307,0,32,0.001883,0.0,0.00056,4241.35,JAX 57%; LAC 28%; DET 4%
67,SYNTH-22912,SYNTH-22912,0,32,0.001883,0.0,0.00088,4235.28,JAX 58%; LAC 32%; DET 3%
68,SYNTH-05693,SYNTH-05693,0,32,0.001883,0.0,0.00072,4214.5,JAX 58%; LAC 31%; DET 3%
69,SYNTH-18327,SYNTH-18327,0,32,0.001883,0.0,0.00128,4200.35,JAX 58%; LAC 28%; DET 4%
70,SYNTH-10370,SYNTH-10370,0,32,0.001883,0.0,0.00104,4195.98,JAX 61%; LAC 23%; DET 5%
71,SYNTH-13792,SYNTH-13792,0,32,0.001883,0.0,0.0008,4187.86,JAX 53%; LAC 34%; DET 3%
72,SYNTH-00203,SYNTH-00203,0,32,0.001883,0.0,0.00112,4181.23,JAX 58%; LAC 30%; DET 4%
73,SYNTH-16545,SYNTH-16545,0,32,0.001883,0.0,0.00128,4170.66,JAX 59%; LAC 31%; DET 3%
74,SYNTH-02356,SYNTH-02356,0,32,0.001883,0.0,0.00064,4153.52,JAX 46%; LAC 30%; DET 4%
75,SYNTH-20677,SYNTH-20677,0,32,0.001883,0.0,0.0012,4151.39,JAX 56%; LAC 29%; DET 4%
76,SYNTH-12412,SYNTH-12412,0,32,0.001883,0.0,0.00064,4131.67,JAX 52%; LAC 34%; DET 4%
77,SYNTH-22752,SYNTH-22752,0,32,0.001883,0.0,0.00112,4114.82,JAX 53%; LAC 32%; DET 4%
78,SYNTH-22543,SYNTH-22543,0,32,0.001883,0.0,0.00104,4114.64,JAX 63%; LAC 25%; DET 4%
79,SYNTH-08998,SYNTH-08998,0,32,0.001883,0.0,0.00128,4095.44,JAX 50%; LAC 29%; DET 4%
80,SYNTH-16561,SYNTH-16561,0,32,0.001883,0.0,0.00072,4093.95,JAX 57%; LAC 31%; DET 4%
81,SYNTH-05152,SYNTH-05152,0,32,0.001883,0.0,0.00096,4084.9,JAX 56%; LAC 31%; DET 4%
82,SYNTH-09677,SYNTH-09677,0,32,0.001883,0.0,0.00048,4073.42,JAX 43%; LAC 33%; DET 4%
83,SYNTH-05457,SYNTH-05457,0,32,0.001883,0.0,0.00048,4072.51,JAX 47%; LAC 25%; DET 5%
84,SYNTH-00058,SYNTH-00058,0,32,0.001883,0.0,0.00072,4071.24,JAX 52%; LAC 28%; DET 5%
85,SYNTH-22728,SYNTH-22728,0,32,0.001883,0.0,0.00088,4067.69,JAX 55%; LAC 25%; DET 5%
86,SYNTH-01122,SYNTH-01122,0,32,0.001883,0.0,0.00072,4053.63,JAX 56%; LAC 30%; DET 4%
87,SYNTH-20982,SYNTH-20982,0,32,0.001883,0.0,0.0008,4042.16,JAX 52%; LAC 30%; DET 4%
88,SYNTH-01010,SYNTH-01010,0,32,0.001883,0.0,0.00048,4033.74,JAX 55%; LAC 31%; DET 4%
89,SYNTH-01268,SYNTH-01268,0,32,0.001883,0.0,0.00056,4033.12,JAX 56%; LAC 29%; DET 4%
90,SYNTH-11353,SYNTH-11353,0,32,0.001883,0.0,0.00064,4024.47,JAX 48%; LAC 27%; DET 4%
91,SYNTH-17806,SYNTH-17806,0,32,0.001883,0.0,0.00056,4020.84,JAX 59%; LAC 33%; DET 3%
92,SYNTH-14536,SYNTH-14536,0,32,0.001883,0.0,0.00032,4019.49,JAX 53%; LAC 32%; DET 4%
93,SYNTH-23143,SYNTH-23143,0,32,0.001883,0.0,0.00072,4019.39,JAX 51%; LAC 27%; DET 5%
94,SYNTH-12866,SYNTH-12866,0,32,0.001883,0.0,0.00088,4010.83,JAX 57%; LAC 27%; DET 4%
95,SYNTH-09618,SYNTH-09618,0,32,0.001883,0.0,0.00088,4000.57,JAX 58%; LAC 29%; DET 4%
96,SYNTH-13714,SYNTH-13714,0,32,0.001883,0.0,0.0012,3997.63,JAX 56%; LAC 30%; DET 4%
97,SYNTH-08321,SYNTH-08321,0,32,0.001883,0.0,0.00048,3989.86,JAX 53%; LAC 35%; DET 3%
98,SYNTH-08744,SYNTH-08744,0,32,0.001883,0.0,0.00104,3983.65,JAX 57%; LAC 29%; DET 4%
99,SYNTH-00701,SYNTH-00701,0,32,0.001883,0.0,0.0004,3981.72,JAX 53%; LAC 29%; DET 4%
100,SYNTH-03751,SYNTH-03751,0,32,0.001883,0.0,0.00072,3978.17,JAX 51%; LAC 27%; DET 5%
101,SYNTH-10730,SYNTH-10730,0,32,0.001883,0.0,0.00048,3969.32,JAX 56%; LAC 30%; DET 4%
102,SYNTH-07200,SYNTH-07200,0,32,0.001883,0.0,0.00096,3965.65,JAX 51%; LAC 33%; DET 4%
103,SYNTH-16773,SYNTH-16773,0,32,0.001883,0.0,0.00072,3958.73,JAX 50%; LAC 29%; DET 4%
104,SYNTH-13540,SYNTH-13540,0,32,0.001883,0.0,0.00088,3952.52,JAX 59%; LAC 27%; DET 4%
105,SYNTH-23733,SYNTH-23733,0,32,0.001883,0.0,0.00056,3947.08,JAX 51%; LAC 30%; DET 4%
106,SYNTH-02721,SYNTH-02721,0,32,0.001883,0.0,0.00144,3946.1,JAX 52%; LAC 34%; DET 4%
107,SYNTH-00119,SYNTH-00119,0,32,0.001883,0.0,0.0008,3937.25,JAX 60%; LAC 28%; DET 4%
108,SYNTH-23575,SYNTH-23575,0,32,0.001883,0.0,0.00112,3934.62,JAX 60%; LAC 26%; DET 4%
109,SYNTH-20530,SYNTH-20530,0,32,0.001883,0.0,0.00064,3927.45,JAX 50%; LAC 28%; DET 5%
110,SYNTH-05899,SYNTH-05899,0,32,0.001883,0.0,0.00096,3925.05,JAX 58%; LAC 31%; DET 4%
111,SYNTH-07401,SYNTH-07401,0,32,0.001883,0.0,0.00136,3921.88,JAX 53%; LAC 27%; DET 5%
112,SYNTH-10189,SYNTH-10189,0,32,0.001883,0.0,0.00048,3915.23,JAX 58%; LAC 30%; DET 4%
113,SYNTH-07141,SYNTH-07141,0,32,0.001883,0.0,0.00088,3894.91,JAX 54%; LAC 30%; DET 4%
114,SYNTH-23647,SYNTH-23647,0,32,0.001883,0.0,0.0008,3893.53,JAX 60%; LAC 27%; DET 4%
115,SYNTH-14185,SYNTH-14185,0,32,0.001883,0.0,0.00104,3889.29,JAX 60%; LAC 31%; DET 3%
116,SYNTH-11912,SYNTH-11912,0,32,0.001883,0.0,0.0008,3888.48,JAX 57%; LAC 30%; DET 4%
117,SYNTH-21323,SYNTH-21323,0,32,0.001883,0.0,0.00072,3876.64,JAX 50%; LAC 31%; DET 4%
118,SYNTH-19588,SYNTH-19588,0,32,0.001883,0.0,0.00112,3874.54,JAX 52%; LAC 33%; DET 4%
119,SYNTH-10420,SYNTH-10420,0,32,0.001883,0.0,0.00104,3872.64,JAX 50%; LAC 33%; DET 4%
120,SYNTH-01987,SYNTH-01987,0,32,0.001883,0.0,0.00064,3867.11,JAX 50%; LAC 29%; DET 5%
121,SYNTH-03870,SYNTH-03870,0,32,0.001883,0.0,0.00048,3866.25,JAX 55%; LAC 29%; DET 4%
122,SYNTH-00163,SYNTH-00163,0,32,0.001883,0.0,0.0012,3866.12,JAX 63%; LAC 26%; DET 4%
123,SYNTH-20457,SYNTH-20457,0,32,0.001883,0.0,0.00048,3855.85,JAX 42%; LAC 24%; DET 5%
124,SYNTH-22069,SYNTH-22069,0,32,0.001883,0.0,0.00192,3847.44,JAX 58%; LAC 30%; DET 4%
125,SYNTH-04371,SYNTH-04371,0,32,0.001883,0.0,0.0008,3846.35,JAX 52%; LAC 30%; DET 4%
126,SYNTH-01439,SYNTH-01439,0,32,0.001883,0.0,0.00104,3838.84,JAX 59%; LAC 31%; DET 3%
127,SYNTH-07292,SYNTH-07292,0,32,0.001883,0.0,0.00112,3832.96,JAX 60%; LAC 27%; DET 4%
128,SYNTH-19770,SYNTH-19770,0,32,0.001883,0.0,0.0008,3820.25,JAX 54%; LAC 31%; DET 4%
129,SYNTH-11239,SYNTH-11239,0,32,0.001883,0.0,0.00064,3810.77,JAX 57%; LAC 29%; DET 4%
130,SYNTH-20182,SYNTH-20182,0,32,0.001883,0.0,0.00096,3807.28,JAX 56%; LAC 29%; DET 4%
131,SYNTH-12772,SYNTH-12772,0,32,0.001883,0.0,0.00096,3804.39,JAX 58%; LAC 29%; DET 4%
132,SYNTH-13379,SYNTH-13379,0,32,0.001883,0.0,0.00128,3802.51,JAX 59%; LAC 29%; DET 4%
133,SYNTH-10806,SYNTH-10806,0,32,0.001883,0.0,0.0012,3797.5,JAX 61%; LAC 32%; DET 3%
134,SYNTH-09005,SYNTH-09005,0,32,0.001883,0.0,0.0004,3787.55,JAX 58%; LAC 27%; DET 4%
135,SYNTH-23299,SYNTH-23299,0,32,0.001883,0.0,0.00128,3770.81,JAX 63%; LAC 29%; DET 3%
136,SYNTH-14375,SYNTH-14375,0,32,0.001883,0.0,0.00112,3770.69,JAX 55%; LAC 31%; DET 4%
137,SYNTH-10987,SYNTH-10987,0,32,0.001883,0.0,0.00136,3768.01,JAX 59%; LAC 29%; DET 4%
138,SYNTH-17823,SYNTH-17823,0,32,0.001883,0.0,0.00088,3763.34,JAX 63%; LAC 23%; DET 4%
139,SYNTH-12557,SYNTH-12557,0,32,0.001883,0.0,0.00056,3755.96,JAX 48%; LAC 23%; DET 5%
140,SYNTH-12640,SYNTH-12640,0,32,0.001883,0.0,0.0008,3746.93,JAX 53%; LAC 31%; DET 4%
141,SYNTH-21078,SYNTH-21078,0,32,0.001883,0.0,0.00104,3735.8,JAX 52%; LAC 31%; DET 4%
142,SYNTH-07155,SYNTH-07155,0,32,0.001883,0.0,0.00088,3734.66,JAX 54%; LAC 29%; DET 4%
143,SYNTH-14532,SYNTH-14532,0,32,0.001883,0.0,0.00096,3733.14,JAX 58%; LAC 31%; DET 4%
144,SYNTH-16240,SYNTH-16240,0,32,0.001883,0.0,0.00088,3731.43,JAX 51%; LAC 29%; DET 5%
145,SYNTH-18947,SYNTH-18947,0,32,0.001883,0.0,0.00056,3730.13,JAX 52%; LAC 31%; DET 4%
146,SYNTH-19100,SYNTH-19100,0,32,0.001883,0.0,0.00136,3725.6,JAX 63%; LAC 31%; DET 2%
147,SYNTH-16323,SYNTH-16323,0,32,0.001883,0.0,0.00072,3715.11,JAX 58%; LAC 25%; DET 5%
148,SYNTH-03184,SYNTH-03184,0,32,0.001883,0.0,0.0012,3714.78,JAX 58%; LAC 31%; DET 4%
149,SYNTH-12431,SYNTH-12431,0,32,0.001883,0.0,0.00072,3714.29,JAX 56%; LAC 26%; DET 5%
150,SYNTH-02129,SYNTH-02129,0,32,0.001883,0.0,0.0008,3708.26,JAX 60%; LAC 28%; DET 4%
151,SYNTH-00115,SYNTH-00115,0,32,0.001883,0.0,0.00064,3694.82,JAX 52%; LAC 32%; DET 4%
152,SYNTH-20245,SYNTH-20245,0,32,0.001883,0.0,0.00136,3694.82,JAX 59%; LAC 33%; DET 3%
153,SYNTH-21011,SYNTH-21011,0,32,0.001883,0.0,0.00144,3688.24,JAX 59%; LAC 30%; DET 4%
154,SYNTH-22992,SYNTH-22992,0,32,0.001883,0.0,0.00112,3679.5,JAX 55%; LAC 33%; DET 4%
155,SYNTH-22070,SYNTH-22070,0,32,0.001883,0.0,0.00072,3678.29,JAX 53%; LAC 31%; DET 4%
156,SYNTH-20529,SYNTH-20529,0,32,0.001883,0.0,0.00064,3678.24,JAX 54%; LAC 33%; DET 4%
157,SYNTH-16697,SYNTH-16697,0,32,0.001883,0.0,0.00088,3678.16,JAX 59%; LAC 28%; DET 4%
158,SYNTH-09892,SYNTH-09892,0,32,0.001883,0.0,0.0004,3664.56,JAX 55%; LAC 26%; DET 5%
159,SYNTH-10714,SYNTH-10714,0,32,0.001883,0.0,0.0008,3663.8,JAX 52%; LAC 28%; DET 4%
160,SYNTH-02387,SYNTH-02387,0,32,0.001883,0.0,0.00104,3654.61,JAX 58%; LAC 29%; DET 4%
161,SYNTH-00122,SYNTH-00122,0,32,0.001883,0.0,0.00048,3646.53,JAX 55%; LAC 27%; DET 4%
162,SYNTH-00395,SYNTH-00395,0,32,0.001883,0.0,0.00112,3639.27,JAX 64%; LAC 27%; DET 3%
163,SYNTH-14996,SYNTH-14996,0,32,0.001883,0.0,0.0008,3632.2,JAX 56%; LAC 29%; DET 4%
164,SYNTH-01823,SYNTH-01823,0,32,0.001883,0.0,0.00056,3625.73,JAX 60%; LAC 25%; DET 5%
165,SYNTH-18654,SYNTH-18654,0,32,0.001883,0.0,0.00112,3625.69,JAX 60%; LAC 28%; DET 4%
166,SYNTH-19012,SYNTH-19012,0,32,0.001883,0.0,0.00104,3617.48,JAX 53%; LAC 32%; DET 4%
167,SYNTH-22948,SYNTH-22948,0,32,0.001883,0.0,0.00176,3616.92,JAX 56%; LAC 32%; DET 3%
168,SYNTH-17132,SYNTH-17132,0,32,0.001883,0.0,0.0016,3616.07,JAX 58%; LAC 31%; DET 3%
169,SYNTH-19790,SYNTH-19790,0,32,0.001883,0.0,0.00104,3615.14,JAX 61%; LAC 30%; DET 3%
170,SYNTH-00019,SYNTH-00019,0,32,0.001883,0.0,0.00096,3615.06,JAX 48%; LAC 29%; DET 5%
171,SYNTH-09373,SYNTH-09373,0,32,0.001883,0.0,0.00152,3609.62,JAX 58%; LAC 29%; DET 4%
172,SYNTH-01538,SYNTH-01538,0,32,0.001883,0.0,0.00144,3608.62,JAX 61%; LAC 29%; DET 3%
173,SYNTH-08535,SYNTH-08535,0,32,0.001883,0.0,0.00112,3608.35,JAX 57%; LAC 30%; DET 4%
174,SYNTH-15170,SYNTH-15170,0,32,0.001883,0.0,0.00152,3593.03,JAX 59%; LAC 32%; DET 3%
175,SYNTH-07616,SYNTH-07616,0,32,0.001883,0.0,0.00072,3590.58,JAX 55%; LAC 29%; DET 4%
176,SYNTH-07830,SYNTH-07830,0,32,0.001883,0.0,0.00072,3586.46,JAX 51%; LAC 31%; DET 4%
177,SYNTH-00049,SYNTH-00049,0,32,0.001883,0.0,0.00088,3584.16,JAX 59%; LAC 24%; DET 5%
178,SYNTH-13081,SYNTH-13081,0,32,0.001883,0.0,0.00064,3581.49,JAX 56%; LAC 30%; DET 4%
179,SYNTH-19946,SYNTH-19946,0,32,0.001883,0.0,0.00096,3577.87,JAX 63%; LAC 29%; DET 3%
180,SYNTH-09792,SYNTH-09792,0,32,0.001883,0.0,0.00072,3573.42,JAX 57%; LAC 32%; DET 4%
181,SYNTH-06742,SYNTH-06742,0,32,0.001883,0.0,0.002,3567.86,JAX 58%; LAC 31%; DET 3%
182,SYNTH-22966,SYNTH-22966,0,32,0.001883,0.0,0.00128,3565.57,JAX 58%; LAC 29%; DET 4%
183,SYNTH-05890,SYNTH-05890,0,32,0.001883,0.0,0.00144,3559.34,JAX 61%; LAC 31%; DET 3%
184,SYNTH-21865,SYNTH-21865,0,32,0.001883,0.0,0.0012,3557.93,JAX 60%; LAC 31%; DET 3%
185,SYNTH-16771,SYNTH-16771,0,32,0.001883,0.0,0.00144,3557.52,JAX 60%; LAC 30%; DET 3%
186,SYNTH-23097,SYNTH-23097,0,32,0.001883,0.0,0.00088,3556.44,JAX 53%; LAC 29%; DET 4%
187,SYNTH-00468,SYNTH-00468,0,32,0.001883,0.0,0.00112,3555.05,JAX 57%; LAC 28%; DET 4%
188,SYNTH-07158,SYNTH-07158,0,32,0.001883,0.0,0.00048,3547.15,JAX 54%; LAC 31%; DET 4%
189,SYNTH-05644,SYNTH-05644,0,32,0.001883,0.0,0.0008,3541.46,JAX 57%; LAC 31%; DET 4%
190,SYNTH-20731,SYNTH-20731,0,32,0.001883,0.0,0.0016,3539.07,JAX 60%; LAC 29%; DET 4%
191,SYNTH-14315,SYNTH-14315,0,32,0.001883,0.0,0.00088,3538.22,JAX 54%; LAC 30%; DET 4%
192,SYNTH-16012,SYNTH-16012,0,32,0.001883,0.0,0.00128,3535.36,JAX 58%; LAC 27%; DET 4%
193,SYNTH-18619,SYNTH-18619,0,32,0.001883,0.0,0.00096,3534.28,JAX 62%; LAC 29%; DET 3%
194,SYNTH-07509,SYNTH-07509,0,32,0.001883,0.0,0.00072,3534.02,JAX 56%; LAC 33%; DET 4%
195,SYNTH-08550,SYNTH-08550,0,32,0.001883,0.0,0.00064,3531.73,JAX 58%; LAC 30%; DET 4%
196,SYNTH-20091,SYNTH-20091,0,32,0.001883,0.0,0.00096,3524.24,JAX 59%; LAC 30%; DET 4%
197,SYNTH-05970,SYNTH-05970,0,32,0.001883,0.0,0.00104,3515.69,JAX 59%; LAC 29%; DET 4%
198,SYNTH-08864,SYNTH-08864,0,32,0.001883,0.0,0.00112,3502.64,JAX 59%; LAC 26%; DET 4%
199,SYNTH-11316,SYNTH-11316,0,32,0.001883,0.0,0.0008,3499.92,JAX 56%; LAC 30%; DET 4%
200,SYNTH-19460,SYNTH-19460,0,32,0.001883,0.0,0.0008,3495.1,JAX 55%; LAC 28%; DET 4%
201,SYNTH-17902,SYNTH-17902,0,32,0.001883,0.0,0.0012,3492.05,JAX 60%; LAC 29%; DET 3%
202,SYNTH-10759,SYNTH-10759,0,32,0.001883,0.0,0.00096,3484.8,JAX 60%; LAC 29%; DET 4%
203,SYNTH-10925,SYNTH-10925,0,32,0.001883,0.0,0.00112,3482.31,JAX 59%; LAC 26%; DET 5%
204,SYNTH-21360,SYNTH-21360,0,32,0.001883,0.0,0.00088,3479.54,JAX 54%; LAC 27%; DET 5%
205,SYNTH-05933,SYNTH-05933,0,32,0.001883,0.0,0.00048,3477.08,JAX 51%; LAC 33%; DET 4%
206,SYNTH-23220,SYNTH-23220,0,32,0.001883,0.0,0.00064,3475.51,JAX 54%; LAC 31%; DET 4%
207,SYNTH-16678,SYNTH-16678,0,32,0.001883,0.0,0.00072,3473.89,JAX 54%; LAC 27%; DET 4%
208,SYNTH-21190,SYNTH-21190,0,32,0.001883,0.0,0.00104,3472.1,JAX 62%; LAC 29%; DET 3%
209,SYNTH-18712,SYNTH-18712,0,32,0.001883,0.0,0.00152,3470.95,JAX 57%; LAC 31%; DET 4%
210,SYNTH-11439,SYNTH-11439,0,32,0.001883,0.0,0.00072,3466.12,JAX 53%; LAC 28%; DET 4%
211,SYNTH-09432,SYNTH-09432,0,32,0.001883,0.0,0.00128,3451.47,JAX 55%; LAC 32%; DET 4%
212,SYNTH-16638,SYNTH-16638,0,32,0.001883,0.0,0.00128,3451.14,JAX 62%; LAC 31%; DET 3%
213,SYNTH-01408,SYNTH-01408,0,32,0.001883,0.0,0.00088,3448.22,JAX 52%; LAC 35%; DET 4%
214,SYNTH-13878,SYNTH-13878,0,32,0.001883,0.0,0.00128,3442.99,JAX 57%; LAC 29%; DET 4%
215,SYNTH-23182,SYNTH-23182,0,32,0.001883,0.0,0.00088,3442.62,JAX 54%; LAC 28%; DET 4%
216,SYNTH-08119,SYNTH-08119,0,32,0.001883,0.0,0.00088,3442.12,JAX 54%; LAC 33%; DET 4%
217,SYNTH-03043,SYNTH-03043,0,32,0.001883,0.0,0.00128,3441.33,JAX 60%; LAC 30%; DET 3%
218,SYNTH-18054,SYNTH-18054,0,32,0.001883,0.0,0.00128,3440.3,JAX 54%; LAC 29%; DET 4%
219,SYNTH-20842,SYNTH-20842,0,32,0.001883,0.0,0.00096,3440.13,JAX 57%; LAC 28%; DET 4%
